"ea_id","latitude","longitude"
"10101215",-9.50446033477783,33.2302017211914
"10103414",-9.97159957885742,33.3739013671875
"10220103",-9.9753999710083,33.9259986877441
"10302010",-11.96399974823,34.0768013000488
"10502268",-11.2849998474121,33.7784996032715
"10505310",-11.3125,33.4799003601074
"10732192",-11.407600402832,33.9948997497559
"10734370",-11.4329996109009,34.0234985351562
"10746033",-11.4608001708984,33.9738998413086
"20111718",-13.3487997055054,33.4403991699219
"20112661",-12.8816003799438,33.7267990112305
"20205207",-13.3500003814697,34.2705001831055
"20206362",-13.2740001678467,34.1403999328613
"20303065",-13.2305002212524,34.0093002319336
"20306557",-13.3313999176025,33.8581008911133
"20404032",-13.7468996047974,34.163200378418
"20404575",-13.7920999526978,34.1601982116699
"20407398",-13.6361999511719,33.7489013671875
"20407481",-13.5076999664307,33.7375984191895
"20508349",-13.4883003234863,34.2613983154297
"20601626",-14.0754995346069,33.9183006286621
"20603090",-14.2600002288818,33.7983016967773
"20603533",-14.2749004364014,33.7597007751465
"20607260",-13.8674001693726,33.8280982971191
"20607315",-13.7993001937866,33.8588981628418
"20610050",-14.1044998168945,34.0018005371094
"20614477",-14.0329999923706,33.5158996582031
"20615064",-13.8121995925903,33.5004997253418
"20615735",-13.934700012207,33.4939994812012
"20705372",-13.5026998519897,32.9863014221191
"20801046",-14.3762998580933,34.0393981933594
"20803156",-14.2992000579834,34.1125984191895
"20804405",-14.0261001586914,34.2599983215332
"20807727",-14.3556003570557,34.5792999267578
"20808421",-14.3486995697021,34.4039993286133
"20906524",-14.7688999176025,34.6460990905762
"20906605",-14.6513996124268,34.6255989074707
"20908119",-14.5036001205444,34.6593017578125
"20909113",-14.4135999679565,34.6105995178223
"21037030",-13.9896001815796,33.7771987915039
"21037536",-13.9917001724243,33.7789001464844
"21048764",-13.9354000091553,33.7827987670898
"21051203",-14.0038995742798,33.8081016540527
"21055241",-13.8758001327515,33.7598991394043
"21055693",-13.8696002960205,33.777099609375
"21066096",-14.0239000320435,33.7779998779297
"21066339",-14.020899772644,33.774600982666
"21081573",-13.8938999176025,33.7871017456055
"21086069",-13.9530000686646,33.717399597168
"21086436",-13.9554004669189,33.7285995483398
"30101280",-14.4265003204346,35.2575988769531
"30101545",-14.5243997573853,35.0887985229492
"30103074",-14.479100227356,34.8261985778809
"30104708",-14.3252000808716,35.4254989624023
"30105325",-14.4912004470825,35.6063003540039
"30107624",-14.1065998077393,35.4117012023926
"30109724",-14.1403999328613,35.2154006958008
"30202252",-15.1750001907349,35.3381004333496
"30208396",-14.7074003219604,35.8067016601562
"30212307",-14.6998996734619,35.6080017089844
"30302601",-15.4882001876831,35.556999206543
"30305082",-15.5698003768921,35.4255981445312
"30305580",-15.6473999023438,35.3431015014648
"30306555",-15.4626998901367,35.1595001220703
"30403444",-15.8295001983643,35.2617988586426
"30406710",-15.601300239563,35.2403984069824
"30501383",-15.6555995941162,35.0183982849121
"30504518",-15.7088003158569,34.8301010131836
"30602235",-15.7370004653931,34.3852005004883
"30620196",-15.6057996749878,34.5183982849121
"30704313",-16.1982002258301,35.1580009460449
"30705391",-16.0879993438721,35.0680999755859
"30708665",-16.0578994750977,35.236198425293
"30709438",-15.9498996734619,35.1136016845703
"30801672",-16.1133995056152,35.4091987609863
"30801679",-16.0832004547119,35.5824012756348
"30803115",-16.0375003814697,35.3544998168945
"30806611",-15.8283996582031,35.353199005127
"30901054",-15.5762996673584,35.5518989562988
"30901475",-15.6688995361328,35.5890007019043
"31001749",-16.6000003814697,34.9673004150391
"31002169",-16.2668991088867,34.8951988220215
"31004312",-16.0203990936279,34.9201011657715
"31108703",-16.9855003356934,35.2499008178711
"31201007",-14.9258003234863,35.0164985656738
"31201104",-15.0705995559692,35.1703987121582
"31201516",-14.9533004760742,34.9544982910156
"31435120",-15.3787002563477,35.342098236084
"31435753",-15.3736000061035,35.3643989562988
"31439102",-15.3992004394531,35.3184013366699
"31441389",-15.3990001678467,35.320499420166
"31443270",-15.4041996002197,35.3314018249512
"31532674",-15.7307996749878,35.0713005065918
"31536118",-15.7776002883911,35.0401992797852
"31555614",-15.8551998138428,35.0736999511719
